OBJECTID,EASTING,NORTHING
1,548000,189849
2,548739,190513
3,548161,189365
4,548739,190513
5,548000,189849
6,548420,190174
7,548382,189220
8,548113,189500
9,548409,189345
10,548349,189976
11,548911,190666
12,548911,190666
13,548052,189508
14,548108,189869
15,548161,189365
16,548052,189508
17,548108,189869
18,548382,189220
19,548382,189220
20,548349,189976
21,547552,189609
22,547552,189609
23,547718,189633
24,547712,189667
25,547594,189458
26,547552,189609
27,547712,189667
28,547505,189552
29,547718,189633
30,547718,189633
31,547712,189667
32,547907,188898
33,548341,188933
34,547907,188898
35,548341,188933
36,548341,188933
37,547907,188898
38,548164,188919
39,547871,188712
40,547585,189120
41,547907,188898
42,547871,188712
43,548043,188785
44,548031,189081
45,547671,189254
46,548031,189081
47,548164,188919
48,548341,188933
49,548043,188785
50,548341,188933
51,547991,188990
52,547757,189209
53,547913,189634
54,548159,189061
55,548159,189061
56,548159,189061
57,547861,189536
58,547920,189368
59,547861,189536
60,548014,189352
61,548404,189086
62,548042,189448
63,548042,189448
64,548042,189448
65,548042,189448
66,547814,189367
67,547920,189368
68,548042,189448
69,548159,189061
70,548051,189267
71,548395,189426
72,547920,189368
73,548014,189352
74,548378,188427
75,548278,188720
76,548378,188427
77,548378,188427
78,548378,188427
79,548387,188263
80,548387,188263
81,548255,188638
82,548688,188487
83,548268,188353
84,548351,188506
85,548278,188720
86,548335,188640
87,548180,188210
88,548180,188210
89,548054,188285
90,548223,188105
91,547891,188014
92,548883,188071
93,548871,188453
94,549018,188018
95,548871,188453
96,548562,188296
97,548969,188208
98,548883,188071
99,548735,188317
100,548562,188296
101,548745,188187
102,548562,188296
103,548808,188331
104,548745,188187
105,548619,187952
106,548619,187952
107,548724,187979
108,548619,187952
109,548469,187800
110,548954,187677
111,548619,187952
112,548652,188271
113,548783,187484
114,548954,187677
115,548783,187484
116,548469,187800
117,548954,187677
118,548619,187952
119,548724,187979
120,548801,187616
121,548783,187484
122,548791,187770
123,548954,187677
124,548657,187654
125,548245,187970
126,548245,187970
127,548539,188099
128,547789,187494
129,548315,188073
130,548321,187926
131,548386,187862
132,548539,188099
133,548539,188099
134,547789,187494
135,547789,187494
136,547789,187494
137,548539,188099
138,548315,188073
139,547765,187774
140,548122,187981
141,547703,187686
142,547879,187932
143,548008,187904
144,547879,187932
145,548008,187904
146,547778,187825
147,547703,187686
148,548122,187981
149,548008,187904
150,548026,187834
151,548008,187904
152,547879,187932
153,548106,187733
